Title,Price,Bids,Finish Time,Url
Craftsman Table Saw,$100.00 ,2 , 07/12 06:37 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473885
Powermatic Table Saw,$300.00 ,10 , 07/12 06:36 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473884
Band Saw,$250.00 ,6 , 07/12 06:34 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473882
Shop Fan,$65.00 ,5 , 07/12 06:33 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473881
DeWalt Saw,$100.00 ,1 , 07/12 06:32 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473880
1975 Gooseneck Trailer,"$3,150.00 ",36 , 07/12 06:32 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473865
Metal Turning Lathe,$225.00 ,5 , 07/12 06:31 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473879
Pumps and Electric Motors,$50.00 ,7 , 07/12 06:31 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473874
Band Saw,$400.00 ,4 , 07/12 06:30 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473878
Milling Machine ,"$3,725.00 ",24 , 07/12 06:27 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473875
(2) Sickle Mowers - For Parts,$60.00 ,8 , 07/12 06:25 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473873
(2) Aluminum Storm Doors,$10.00 ,2 , 07/12 06:24 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473872
(2) IEC Centrifuge & Parts,$180.00 ,10 , 07/12 06:23 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473871
Huskee Riding Mower,$25.00 ,2 , 07/12 06:22 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473870
Slate Table Top & Sink,$30.00 ,3 , 07/12 06:21 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473869
Metal Door,$15.00 ,1 , 07/12 06:20 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473868
Onan Electric Generator ,$950.00 ,16 , 07/12 06:19 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473867
Title,Price,Bids,Finish Time,Url
2006 Ford Taurus,"$2,600.00 ",30 , 07/12 06:16 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074473864
Title,Price,Bids,Finish Time,Url
Title,Price,Bids,Finish Time,Url
Title,Price,Bids,Finish Time,Url
Con-Space Communication Equipment ,$55.00 ,4 , 12/06 07:55 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492721
Sony Camcorder,$30.00 ,6 , 12/06 07:54 PM,https://www.lsoauctions.com/details.cfm?itemnum=1074492647
